FINANCIAL SERVICES,0,16606,54486,12849,88133,21223,59749,23289,36818,12210,39858,61962,22134,97985,14710,16614,13274,22957,12151,18151,35339,21202,23864,20923,19053,35607,19178,27387,18699,27867,20850,15994,25712,16427,11850,12987,18553,16771,11477,12623,13351,15814,15292,15539,17119,16766,11692,11502,13551,15273,12804,15249,13162,11141,16179,11512,13777,11565,11748,10968,12670,11466,11024,10964,11016,11362,10977,10943
BEAUTY,25712,20328,48472,17287,87051,25013,60589,26795,37642,16692,41574,62832,25288,97165,18820,20702,17482,26705,16481,21783,37815,25152,27394,24613,22371,34565,22356,30321,22741,29753,24348,20062,0,20811,16334,17377,22325,20711,16017,17217,17625,19446,19634,19487,20889,20628,16068,16062,18209,19169,16988,19275,17200,15803,20207,16156,18353,16147,16194,15630,17196,16082,15688,15612,15678,16044,15641,15599
AUTOMOTIVE,16427,11637,49307,7586,83410,16438,55074,18044,31773,7197,36489,57459,17243,93324,9705,11629,8251,18156,7128,13174,30622,16285,18927,16136,14132,30708,14289,22686,13890,23134,15935,10551,20811,0,6813,7940,13574,11612,6414,7604,8320,10803,10259,10548,12096,11775,6635,6439,8742,10304,7809,10248,8153,6072,10948,6431,8682,6494,6677,5887,7679,6397,5947,5887,5937,6319,5900,5862
BOOKS AND MAGAZINES,11850,7018,46028,2979,80361,11777,51249,13655,27920,2370,32512,53462,12620,89599,4880,6786,3464,13613,2287,8619,26125,11672,14358,11575,9499,26697,9480,18355,9207,18823,11050,6340,16334,6813,0,3171,8765,7063,1565,2785,3525,6048,5416,5761,7453,7054,1786,1578,3971,5481,2960,5475,3326,1223,6547,1618,3839,1647,1832,1038,2878,1578,1096,1036,1086,1470,1049,1011
SEAFOOD,12987,8171,46525,4174,79518,11350,50202,14790,28265,3523,33291,52289,13607,88256,6075,8059,4661,14794,3464,9762,25904,12399,15357,11604,10518,27500,10645,18302,9954,19176,12393,7497,17377,7940,3171,0,10088,8220,2758,3980,4732,7191,6647,6926,8734,8193,2983,2783,5154,6676,4173,6454,4509,2422,7726,2829,5040,2842,3033,2233,4059,2771,2291,2229,2281,2665,2244,2206
OFFICE SUPPLIES,18553,13583,50769,9710,84684,18452,56728,20288,33597,9145,37359,58927,18901,94486,11633,12359,10281,19994,9144,14776,32260,18277,20883,18196,15836,32244,16043,24574,15820,24610,16911,12805,22325,13574,8765,10088,0,13810,8502,9706,10332,12669,12319,12284,13838,13763,8641,8553,10666,12152,9847,12286,10139,8190,13198,8581,10822,8620,8787,8019,9771,8523,8077,8015,8067,8439,8030,7992
LAWN AND GARDEN,16771,11945,49259,7828,83198,16290,54866,17726,31767,7457,36603,56781,17427,92504,9939,11829,8537,18462,7410,13314,30532,16457,19245,16172,13944,30264,14407,22754,14084,22918,15985,10733,20711,11612,7063,8220,13810,0,6704,7908,8618,11015,8759,10662,12286,12047,6921,6719,9056,10578,8091,10236,8427,6370,11226,6767,8978,6762,6957,6189,8003,6713,6247,6187,6237,6619,6200,6162
SHEER HOSIERY,11477,6595,45773,2576,80354,11420,51012,13310,27633,1947,32403,53321,12335,89442,4451,6465,3023,13250,1832,8248,25898,11317,13947,11262,9138,26440,9009,18052,8856,18514,10831,5951,16017,6414,1565,2758,8502,6704,0,2354,3114,5649,5053,5404,7156,6613,1301,1151,3566,5072,2463,5086,2831,788,6138,1199,3406,1212,1401,599,2477,1143,657,599,647,1031,610,572
WIRELESS,12623,7805,46941,3782,81448,12616,52232,14510,28841,3169,33479,54505,13495,90654,5713,7691,4251,14414,3078,9444,27074,12517,15169,12454,10336,27570,10333,19238,10068,19738,12063,7145,17217,7604,2785,3980,9706,7908,2354,0,4312,6855,6277,6616,8352,7861,2585,2381,4628,6316,3773,6284,4143,2000,7336,2399,4626,2428,2627,1821,3659,2355,1879,1819,1869,2251,1832,1794
BEDDING,13351,8385,46891,4494,81372,13272,52442,15146,28903,3901,33753,54713,14153,90880,6359,8321,4999,14930,3822,9616,27606,13183,15745,13070,10610,28016,10935,19794,10694,20076,12765,7659,17625,8320,3525,4732,10332,8618,3114,4312,0,6821,7015,6900,9006,8535,3317,3133,5472,6984,4481,6992,4843,2774,7906,3181,5398,3196,3377,2589,4413,3063,2647,2587,2637,3021,2600,2562
BATH AND SHOWER,15814,10630,47750,6975,82813,15647,54175,17507,30332,6362,35420,56686,16496,92289,8690,10750,7448,17005,6277,11619,29725,15518,18070,15341,12341,29893,13258,22001,13101,21831,15098,9962,19446,10803,6048,7191,12669,11015,5649,6855,6821,0,9506,9135,11357,10772,5826,5658,7953,9347,6974,9417,7276,5313,10355,5716,7931,5739,5822,5136,6916,5602,5194,5132,5184,5562,5147,5109
HORTICULTURE AND ACCESS,15292,10462,48870,6347,83317,15149,54269,16701,31066,5812,35830,56194,16022,92409,8360,10248,6934,17073,5763,11985,29397,15030,17804,15023,12807,29735,12884,21665,12563,22117,14520,9656,19634,10259,5416,6647,12319,8759,5053,6277,7015,9506,0,9153,10935,10524,5262,5040,7453,8961,6444,8869,6806,4701,9985,5102,7321,5123,5316,4518,6370,5060,4576,4518,4566,4950,4529,4489
HOME DECOR,15539,10595,48283,6696,82390,15308,53958,17140,30277,6143,35249,56217,16167,91976,8635,10253,7239,17174,6080,11466,29356,15239,17897,15074,12484,29762,13079,21694,12800,21830,14547,9409,19487,10548,5761,6926,12284,10662,5404,6616,6900,9135,9153,0,11122,10679,5621,5415,7654,9256,6721,9066,7093,5070,10194,5427,7692,5492,5669,4893,6683,5281,4951,4893,4941,5293,4902,4866
TOYS,17119,11935,49721,8510,83242,17122,55408,18888,32461,7879,35703,57691,17753,93498,10077,12013,8905,18738,7810,13854,31130,16957,19017,16766,14666,31286,14687,23200,14392,23596,15659,11627,20889,12096,7453,8734,13838,12286,7156,8352,9006,11357,10935,11122,0,11921,7349,7171,9466,10594,8475,10874,8791,6826,11434,7193,9456,7254,7337,6649,8277,7151,6707,6627,6697,7077,6660,6622
INFANT APPAREL,16766,10984,49290,8057,83375,16669,54951,18635,31950,7318,35964,57530,17426,93257,9312,11790,8320,18113,7251,13489,30693,16586,16360,16399,14207,31043,13866,22787,14047,23285,15646,11294,20628,11775,7054,8193,13763,12047,6613,7861,8535,10772,10524,10679,11921,0,6782,6662,9033,9709,7860,10511,8182,6313,11503,6690,8929,6731,6842,6126,7854,6642,6184,6124,6174,6558,6137,6099
LADIES SOCKS,11692,6656,45796,2777,80365,11643,51165,13493,27760,2170,32480,53428,12480,89577,4678,6686,3224,13341,2047,8403,26039,11536,14124,11457,9291,26487,9120,18223,9073,18687,11048,6142,16068,6635,1786,2983,8641,6921,1301,2585,3317,5826,5262,5621,7349,6782,0,1360,3771,5213,2646,5303,2954,1019,6333,1430,3635,1443,1618,834,2700,1378,892,834,882,1264,845,807
PLUS AND MATERNITY,11502,6622,45808,2591,80367,11439,51059,13327,27682,1974,32436,53388,12338,89531,4498,6482,3032,13227,1839,8261,25899,11318,13994,11263,9185,26451,8872,18067,8881,18579,10860,5970,16062,6439,1578,2783,8553,6719,1151,2381,3133,5658,5040,5415,7171,6662,1360,0,3581,5113,2504,5107,2848,807,6167,1218,3427,1223,1414,616,2488,1162,676,618,666,1050,629,591
ELECTRONICS,13551,8853,47705,4950,81926,13706,52988,15632,29711,4359,34201,55359,14547,91386,6875,8821,5451,15368,4280,10462,28084,13623,16289,13542,11366,28474,11479,20258,11166,20652,13195,8101,18209,8742,3971,5154,10666,9056,3566,4628,5472,7953,7453,7654,9466,9033,3771,3581,0,7486,4951,7454,5317,3200,8432,3587,5842,3640,3833,3035,4739,3535,3095,3035,3085,3465,3046,3010
"GIRLS WEAR, 4-6X  AND 7-14",15273,9603,48023,6520,82324,15232,53714,17124,30733,5771,34769,56263,15899,92012,7603,10167,6811,16660,5652,12020,29332,15033,17423,14882,12866,29700,12145,21476,12544,21860,14409,9837,19169,10304,5481,6676,12152,10578,5072,6316,6984,9347,8961,9256,10594,9709,5213,5113,7486,0,6261,8972,6551,4758,9920,5161,7380,5174,5255,4573,6355,5103,4631,4565,4621,4995,4584,4546
BRAS & SHAPEWEAR,12804,7794,46482,3981,81115,12735,52085,14649,28702,3280,33292,54322,13608,90431,5708,7812,4274,14349,3149,9529,27125,12616,15188,12585,10413,27443,9604,19295,10179,19727,12186,7338,16988,7809,2960,4173,9847,8091,2463,3773,4481,6974,6444,6721,8475,7860,2646,2504,4951,6261,0,6475,3608,2215,7491,2614,4833,2631,2782,2030,3850,2566,2088,2030,2078,2462,2041,2003
"LIQUOR,WINE,BEER",15249,10389,48249,6462,80632,14284,52402,16760,30101,5847,34953,54691,15425,90398,8421,10291,6959,16962,5786,11922,27966,14437,17687,14130,12608,29308,12799,20734,12262,21054,14437,9679,19275,10248,5475,6454,12286,10236,5086,6284,6992,9417,8869,9066,10874,10511,5303,5107,7454,8972,6475,0,6787,4758,9824,5141,7378,5170,5339,4571,6363,5071,4631,4569,4621,5003,4584,4546
SLEEPWEAR/FOUNDATIONS,13162,8084,46622,4351,81157,13021,52255,14971,28946,3646,33404,54560,13866,90537,6072,8142,4686,14639,3493,9831,27393,12952,15536,12879,10671,27555,10000,19615,10501,19967,12472,7670,17200,8153,3326,4509,10139,8427,2831,4143,4843,7276,6806,7093,8791,8182,2954,2848,5317,6551,3608,6787,0,2585,7863,2994,5199,3007,3140,2404,4218,2930,2462,2404,2452,2830,2415,2377
CAMERAS AND SUPPLIES,11141,6295,45651,2224,80210,11118,50808,12992,27409,1613,32211,53119,12027,89354,4151,6123,2711,12956,1518,7930,25616,11017,13641,10956,8838,26242,8821,17768,8554,18278,10539,5613,15803,6072,1223,2422,8190,6370,788,2000,2774,5313,4701,5070,6826,6313,1019,807,3200,4758,2215,4758,2585,0,5798,851,3054,860,1053,247,2127,785,305,247,295,677,258,220
SPORTING GOODS,16179,11173,49371,7452,83038,16202,55086,18014,31903,6887,35955,57271,16905,93032,9305,11293,7949,17650,6810,12828,30276,16025,18699,15862,13694,30428,13877,22498,13618,22780,15587,10535,20207,10948,6547,7726,13198,11226,6138,7336,7906,10355,9985,10194,11434,11503,6333,6167,8432,9920,7491,9824,7863,5798,0,6189,8418,6216,6361,5619,7425,6101,5677,5615,5667,6049,5630,5592
PLAYERS AND ELECTRONICS,11512,6656,45854,2637,80385,11485,51111,13391,27696,2026,32470,53426,12410,89581,4544,6540,3096,13279,1935,8325,25973,11390,13998,11313,9221,26521,9208,18109,8935,18591,10910,5996,16156,6431,1618,2829,8581,6767,1199,2399,3181,5716,5102,5427,7193,6690,1430,1218,3587,5161,2614,5141,2994,851,6189,0,3471,1273,1466,662,2396,1204,720,660,710,1092,671,635
PHARMACY RX,13777,8917,48077,4846,82790,13736,53414,15588,30039,4231,34833,55747,14645,91910,6767,8753,5325,15564,4124,10550,28224,13623,16261,13568,11444,28490,11437,20382,11160,20870,13149,8239,18353,8682,3839,5040,10822,8978,3406,4626,5398,7931,7321,7692,9456,8929,3635,3427,5842,7380,4833,7378,5199,3054,8418,3471,0,3480,3675,2867,4745,3411,2925,2867,2915,3299,2878,2840
OPTICAL - FRAMES,11565,6723,45927,2650,80564,11516,51166,13386,27811,2035,32607,53461,12421,89678,4571,6555,3121,13378,1938,8344,25980,11429,14061,11354,9242,26548,9209,18154,8954,18656,10967,6021,16147,6494,1647,2842,8620,6762,1212,2428,3196,5739,5123,5492,7254,6731,1443,1223,3640,5174,2631,5170,3007,860,6216,1273,3480,0,1473,671,2547,1211,647,671,719,1103,682,644
SWIMWEAR/OUTERWEAR,11748,6750,45962,2837,80497,11659,51303,13555,27904,2206,32558,53546,12596,89737,4682,6748,3244,13491,2077,8501,26151,11594,14192,11491,9397,26681,9116,18275,9123,18805,11112,6218,16194,6677,1832,3033,8787,6957,1401,2627,3377,5822,5316,5669,7337,6842,1618,1414,3833,5255,2782,5339,3140,1053,6361,1466,3675,1473,0,866,2738,1406,924,866,914,1298,877,839
OTHER DEPARTMENTS,10968,6122,45490,2037,80061,10929,50643,12807,27236,1426,32058,52950,11846,89173,3964,5952,2522,12789,1333,7753,25427,10830,13460,10767,8659,26073,8634,17589,8365,18101,10364,5434,15630,5887,1038,2233,8019,6189,599,1821,2589,5136,4518,4893,6649,6126,834,616,3035,4573,2030,4571,2404,247,5619,662,2867,671,866,0,1938,602,116,58,106,490,69,31
MEDIA AND GAMING,12670,7770,46680,3883,80857,12637,51965,14517,28626,3272,33138,54322,13492,90349,5728,7754,4340,14385,3175,9499,27013,12536,15088,12445,10391,27443,10358,19141,10101,19627,12110,7194,17196,7679,2878,4059,9771,8003,2477,3659,4413,6916,6370,6683,8277,7854,2700,2488,4739,6355,3850,6363,4218,2127,7425,2396,4745,2547,2738,1938,0,2464,1996,1932,1986,2370,1949,1911
FURNITURE,11466,6628,45858,2569,80399,11449,51075,13303,27620,1956,32448,53380,12346,89585,4496,6456,3054,13283,1875,8089,25921,11342,13964,11279,9041,26539,9166,18095,8873,18539,10854,5836,16082,6397,1578,2771,8523,6713,1143,2355,3063,5602,5060,5281,7151,6642,1378,1162,3535,5103,2566,5071,2930,785,6101,1204,3411,1211,1406,602,2464,0,660,602,650,1034,613,575
OPTICAL - LENSES,11024,6182,45548,2095,80125,10987,50705,12865,27298,1484,32122,53012,11904,89237,4022,6010,2580,12847,1391,7813,25493,10890,13518,10825,8717,26133,8694,17649,8423,18159,10422,5494,15688,5947,1096,2291,8077,6247,657,1879,2647,5194,4576,4951,6707,6184,892,676,3095,4631,2088,4631,2462,305,5677,720,2925,647,924,116,1996,660,0,116,164,548,127,89
SEASONAL,10964,6116,45474,2037,80047,10925,50635,12803,27234,1426,32042,52946,11844,89171,3954,5948,2520,12787,1331,7753,25431,10826,13452,10763,8655,26059,8634,17587,8361,18093,10350,5434,15612,5887,1036,2229,8015,6187,599,1819,2587,5132,4518,4893,6627,6124,834,618,3035,4565,2030,4569,2404,247,5615,660,2867,671,866,58,1932,602,116,0,106,490,69,31
LARGE HOUSEHOLD GOODS,11016,6172,45538,2085,80115,10977,50695,12855,27288,1474,31960,53002,11894,89227,4012,6000,2570,12837,1381,7803,25483,10880,13508,10815,8707,26123,8684,17639,8413,18149,10412,5484,15678,5937,1086,2281,8067,6237,647,1869,2637,5184,4566,4941,6697,6174,882,666,3085,4621,2078,4621,2452,295,5667,710,2915,719,914,106,1986,650,164,106,0,538,117,79
1-HR PHOTO,11362,6544,45896,2467,80485,11361,51075,13239,27668,1846,32482,53384,12276,89603,4394,6376,2948,13217,1765,8183,25865,11264,13890,11199,9091,26487,9062,18015,8793,18525,10776,5866,16044,6319,1470,2665,8439,6619,1031,2251,3021,5562,4950,5293,7077,6558,1264,1050,3465,4995,2462,5003,2830,677,6049,1092,3299,1103,1298,490,2370,1034,548,490,538,0,501,463
CONCEPT STORES,10977,6135,45501,2048,80076,10940,50658,12818,27251,1437,32075,52965,11857,89190,3975,5963,2533,12800,1344,7766,25446,10843,13471,10778,8670,26086,8647,17602,8376,18112,10373,5447,15641,5900,1049,2244,8030,6200,610,1832,2600,5147,4529,4902,6660,6137,845,629,3046,4584,2041,4584,2415,258,5630,671,2878,682,877,69,1949,613,127,69,117,501,0,42
HEALTH AND BEAUTY AIDS,10943,6097,45463,2010,80040,10902,50620,12780,27213,1399,32035,52927,11819,89152,3937,5925,2495,12762,1306,7728,25408,10805,13433,10740,8632,26046,8609,17564,8338,18074,10337,5409,15599,5862,1011,2206,7992,6162,572,1794,2562,5109,4489,4866,6622,6099,807,591,3010,4546,2003,4546,2377,220,5592,635,2840,644,839,31,1911,575,89,31,79,463,42,0
